ID,sequence,timestamp
913862,"Created, Ready, Reserved, InProgress, Completed","2020-02-28 13:42:00, 2020-02-28 13:44:39, 2020-03-16 11:30:23, 2020-03-16 11:42:51, 2020-09-08 08:14:52"
522572,"Created, Ready, Reserved, InProgress, Completed","2021-06-08 09:34:00, 2021-06-08 09:34:40, 2021-06-17 11:21:52, 2021-09-09 11:59:05, 2022-03-15 09:32:37"
155922,"Created, Ready, Reserved, InProgress, Completed","2020-07-30 16:39:00, 2020-07-30 16:40:58, 2020-08-11 11:15:53, 2020-09-07 19:31:31, 2021-03-15 12:24:57"
916447,"Created, Ready, Reserved, InProgress, Completed","2020-03-26 08:55:00, 2020-03-26 08:56:50, 2020-04-14 13:09:57, 2020-04-15 14:03:35, 2020-10-19 09:44:12"
163631,"Created, Ready, Reserved, InProgress, Completed","2020-09-24 12:49:00, 2020-09-24 12:49:25, 2020-10-11 09:39:50, 2020-12-16 15:59:05, 2021-06-25 09:54:56"
23365,"Created, Ready, Reserved, InProgress, Completed","2020-04-10 10:00:00, 2020-04-10 10:00:16, 2020-04-16 15:36:57, 2020-04-17 13:14:18, 2020-06-25 14:28:36"
129477,"Created, Ready, Reserved, InProgress, Completed","2020-08-18 14:10:00, 2020-08-18 14:10:16, 2020-09-02 15:19:37, 2021-03-12 13:40:57, 2021-09-25 08:40:14"
545494,"Created, Ready, Reserved, InProgress, Completed","2021-05-07 10:42:00, 2021-05-07 10:42:52, 2021-05-20 14:48:39, 2021-05-21 12:54:10, 2021-10-28 10:05:27"
160187,"Created, Ready, Reserved, InProgress, Completed","2020-08-17 11:37:00, 2020-08-17 11:37:24, 2020-08-26 09:54:25, 2020-09-21 10:58:19, 2021-03-18 14:56:36"
531050,"Created, Ready, Reserved, InProgress, Completed","2021-05-24 13:47:00, 2021-05-24 13:47:59, 2021-06-03 17:38:00, 2021-06-03 17:38:58, 2021-08-19 08:03:00"
143576,"Created, Ready, Reserved, InProgress, Completed","2020-07-30 14:12:00, 2020-07-30 14:12:34, 2020-08-12 11:27:19, 2020-08-14 09:24:37, 2020-11-10 10:25:17"
407942,"Created, Ready, Reserved, InProgress, Completed","2021-01-22 13:43:00, 2021-01-22 13:45:59, 2021-02-02 16:52:34, 2021-02-02 16:55:56, 2021-07-16 08:30:00"
